userId,planetNo,attemptNo,plant1,plant2,plant3,plant4,plant5,CFplant1,CFplant2,CFplant3,CFplant4,CFplant5,oldPred,newPred,incurredCost,budgetLeft
09d02c150e1c42e4a5adfbc8796db15a,1,1,1,2,2,3,2,2,3,3,1,2,0,0,29,61
09d02c150e1c42e4a5adfbc8796db15a,1,2,1,3,2,3,2,2,3,3,1,2,0,1,29,61
09d02c150e1c42e4a5adfbc8796db15a,2,1,2,3,2,3,1,3,3,2,2,3,0,1,47,14
2dbbee6114f443d6a53db269f14ec36f,1,1,3,4,2,4,2,2,3,3,1,2,0,1,29,61
2dbbee6114f443d6a53db269f14ec36f,2,1,1,3,1,2,0,3,3,2,2,3,0,1,47,14
2dbbee6114f443d6a53db269f14ec36f,3,1,2,2,2,3,1,2,3,4,1,1,0,0,35,-21
2dbbee6114f443d6a53db269f14ec36f,3,2,1,3,2,3,1,2,3,4,1,1,0,1,35,55
4d88b88f1fd449d3ad351768cdd690a1,1,1,2,4,3,4,2,2,3,3,1,2,0,1,29,61
4d88b88f1fd449d3ad351768cdd690a1,2,1,1,4,2,4,3,3,3,2,2,3,0,1,47,14
7bc59616215044a2b89f2ba8d7481974,1,1,2,1,3,1,2,2,3,3,1,2,0,0,29,61
7bc59616215044a2b89f2ba8d7481974,1,2,2,1,3,1,3,2,3,3,1,2,0,0,29,61
7bc59616215044a2b89f2ba8d7481974,1,3,2,3,3,3,3,2,3,3,1,2,0,1,29,61
7bc59616215044a2b89f2ba8d7481974,2,1,3,1,2,2,3,3,3,2,2,3,0,0,47,14
7bc59616215044a2b89f2ba8d7481974,2,2,3,1,2,2,3,3,3,2,2,3,0,0,47,43
7bc59616215044a2b89f2ba8d7481974,2,3,2,3,2,3,3,3,3,2,2,3,0,1,47,43
b5ff764d99324c3c921b34c68e0da564,1,1,2,3,3,4,2,2,3,3,1,2,0,1,29,61
c78cc000318c43c18e93b538c6f89993,1,1,2,4,3,4,2,2,3,3,1,2,0,1,29,61
c78cc000318c43c18e93b538c6f89993,2,1,1,4,2,4,3,3,3,2,2,3,0,1,47,14
d8d8ef04fcfb45ba8775d3a002814a60,1,1,2,3,3,3,2,2,3,3,1,2,0,1,29,61
d8d8ef04fcfb45ba8775d3a002814a60,2,1,0,3,0,3,0,3,3,2,2,3,0,1,47,14
f60676299b694cf2afb294334cb5713a,1,1,2,2,3,2,2,2,3,3,1,2,0,0,29,61
f60676299b694cf2afb294334cb5713a,1,2,2,4,3,4,2,2,3,3,1,2,0,1,29,61
